full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank
camwiegert/in-view,in-view,Get notified when a DOM element enters or exits the viewport. :eyes:,3549,132,JavaScript,camwiegert,Cam Wiegert,User,"Madison, WI",43.07305170000001,-89.4012302,Madison,United States,49.0
styled-components/styled-components,styled-components,Visual primitives for the component age 💅,3537,143,JavaScript,styled-components,styled-components,Organization,,,,,,50.0
sarcadass/granim.js,granim.js,Create fluid and interactive gradients animations with this small (< 10 kB) js library.,3470,144,JavaScript,sarcadass,Benjamin Blonde,User,"Paris, France",48.856614,2.3522218999999995,Paris,France,52.0
sachinchoolur/lightgallery.js,lightgallery.js,Full featured JavaScript image & video gallery. No dependencies,3187,184,JavaScript,sachinchoolur,Sachin N,User,Bangalore,12.9715987,77.5945627,Bengaluru,India,54.0
nolanlawson/optimize-js,optimize-js,Optimize a JavaScript file for faster initial load by wrapping eagerly-invoked functions,2994,78,JavaScript,nolanlawson,Nolan Lawson,User,Seattle,47.6062095,-122.33207079999998,Seattle,United States,60.0
FormidableLabs/nodejs-dashboard,nodejs-dashboard, Telemetry dashboard for node.js apps from the terminal!,2649,73,JavaScript,FormidableLabs,Formidable,Organization,"Seattle, WA",47.6062095,-122.33207079999998,Seattle,United States,75.0
benhowdle89/grade,grade,This JavaScript library produces complementary gradients generated from the top 2 dominant colours in supplied images.,2587,106,JavaScript,benhowdle89,Ben Howdle,User,"Worcestershire, UK",52.2545225,-2.2668382,,United Kingdom,76.0
googlesamples/md2googleslides,md2googleslides,Generate Google Slides from markdown,2583,87,JavaScript,googlesamples,Google Samples,Organization,,,,,,77.0
Aufree/awesome-wechat-weapp,awesome-wechat-weapp,,2565,467,JavaScript,Aufree,Paul King,User,"Shenzhen, China",22.543096,114.05786499999999,Shenzhen,China,79.0
vuejs/vue-hackernews-2.0,vue-hackernews-2.0,"HackerNews clone built with Vue 2.0, vue-router & vuex, with server-side rendering",2481,408,JavaScript,vuejs,vuejs,Organization,,,,,,84.0
xviniette/FlappyLearning,FlappyLearning,Program learning to play Flappy Bird by machine learning (Neuroevolution),2317,192,JavaScript,xviniette,Vincent Bazia,User,"France, Montpellier",43.610769,3.8767160000000005,Montpellier,France,88.0
FormidableLabs/react-game-kit,react-game-kit,Component library for making games with React  & React Native,2257,79,JavaScript,FormidableLabs,Formidable,Organization,"Seattle, WA",47.6062095,-122.33207079999998,Seattle,United States,89.0
gchq/CyberChef,CyberChef,"The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis",2234,229,JavaScript,gchq,GCHQ,Organization,UK,55.378051,-3.435973,,United Kingdom,92.5
RafalWilinski/express-status-monitor,express-status-monitor,"🚀 Realtime Monitoring solution for Express.js apps, inspired by status.github.com",2204,82,JavaScript,RafalWilinski,Rafal Wilinski,User,Poznań,52.406374,16.9251681,Poznań,Poland,96.0
franciscop/cookies.js,cookies.js,🍪 Interactive and easy cookies from your browser in javascript,2120,56,JavaScript,franciscop,Francisco Presencia,User,"Valencia, Spain",39.4699075,-0.37628809999999996,Valencia,Spain,99.0
th0r/webpack-bundle-analyzer,webpack-bundle-analyzer,Webpack plugin and CLI utility that represents bundle content as convenient interactive zoomable treemap,2106,43,JavaScript,th0r,Yuriy Grunin,User,,,,,,100.0
iam4x/pokemongo-webspoof,pokemongo-webspoof,👾 Play Pokémon Go from your Mac,2092,221,JavaScript,iam4x,Max Tyler,User,"Paris, France",48.856614,2.3522218999999995,Paris,France,102.0
mewo2/terrain,terrain,Fantasy map generator,2090,158,JavaScript,mewo2,Martin O'Leary,User,"Swansea, Wales",51.62144,-3.943645999999999,Swansea,United Kingdom,103.0
GetStream/Winds,Winds,Winds is an open source & beautiful RSS reader built using React/Redux/Sails/Node and Stream (https://getstream.io). It showcases personalized feeds powered by the https://getstream.io API. This tutorial explains how the personalization API works (http://bit.ly/personalization-winds). Try the online demo: ,2016,128,JavaScript,GetStream,Stream,Organization,Boulder,40.0149856,-105.2705456,Boulder,United States,110.0
dempfi/ayu,ayu,Modern Sublime Text 3 and 2 theme,1931,66,JavaScript,dempfi,Ike Ku,User,,,,,,117.0
devongovett/regexgen,regexgen,Generate regular expressions that match a set of strings,1917,51,JavaScript,devongovett,Devon Govett,User,San Francisco,37.7749295,-122.4194155,San Francisco,United States,119.0
nuxt/nuxt.js,nuxt.js,A minimalistic framework for server-rendered Vue.js applications (inspired by Next.js).,1916,68,JavaScript,nuxt,NUXT,Organization,,,,,,120.0
FormidableLabs/react-music,react-music,Make beats with React!,1885,110,JavaScript,FormidableLabs,Formidable,Organization,"Seattle, WA",47.6062095,-122.33207079999998,Seattle,United States,121.0
turbo/js,js,turbo.js - perform massive parallel computations in your browser with GPGPU.,1836,63,JavaScript,turbo,minxomat,User,Leipzig & London,51.4220814,12.2203805,Schkeuditz,Germany,131.0
lukehaas/RegexHub,RegexHub,A collection of useful regex patterns,1738,82,JavaScript,lukehaas,Luke Haas,User,London,51.5073509,-0.12775830000000002,London,United Kingdom,135.0
pubkey/rxdb,rxdb,"Reactive Offline-first Database with Sync, Schema, Mongo-Query, Encryption, LevelDown ",1663,52,JavaScript,pubkey,Daniel M,User,"Germany, Stuttgart",48.7758459,9.1829321,Stuttgart,Germany,148.0
MicheleBertoli/react-fix-it,react-fix-it,Automagically generate tests from errors,1568,15,JavaScript,MicheleBertoli,Michele Bertoli,User,"London, UK",51.5073509,-0.12775830000000002,London,United Kingdom,158.0
material-components/material-components-web,material-components-web,Modular and customizable Material Design UI components for the web,1533,71,JavaScript,material-components,Material Components,Organization,,,,,,161.0
terkelg/ramme,ramme,📷  Unofficial Instagram Desktop App,1501,130,JavaScript,terkelg,Terkel,User,"Los Angeles, CA",34.0522342,-118.24368490000002,Los Angeles,United States,167.5
andywer/webpack-blocks,webpack-blocks,📦 Configure webpack using functional feature blocks.,1501,30,JavaScript,andywer,Andy Wermke,User,"Leipzig, Germany",51.339695500000005,12.373074699999998,Leipzig,Germany,167.5
threepointone/glamor,glamor,inline css for react et al,1493,53,JavaScript,threepointone,Sunil Pai,User,"Bangalore, India",12.9715987,77.5945627,Bengaluru,India,170.0
jgraph/draw.io,draw.io,Source to www.draw.io,1460,464,JavaScript,jgraph,JGraph,Organization,England/Switerzland,,,,,178.0
shoutem/ui,ui,Customizable set of components for React Native applications,1447,106,JavaScript,shoutem,Shoutem,Organization,"NYC, New York",40.7127837,-74.00594129999999,New York,United States,182.0
christinecha/choreographer-js,choreographer-js,A simple library to take care of complicated animations.,1427,66,JavaScript,christinecha,Christine Cha,User,NYC,40.7127837,-74.00594129999999,New York,United States,186.0
LaunchKit/LaunchKit,LaunchKit,"A set of web-based tools for mobile app developers, now open source!",1426,157,JavaScript,LaunchKit,LaunchKit,Organization,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,187.0
siddharthkp/cost-of-modules,cost-of-modules,Find out which of your dependencies are slowing you down 🐢,1411,20,JavaScript,siddharthkp,Siddharth Kshetrapal,User,"Bangalore, India",12.9715987,77.5945627,Bengaluru,India,189.0
babel/babel-preset-env,babel-preset-env,:earth_americas: Autoprefixer for Babel: compile less,1400,36,JavaScript,babel,Babel,Organization,,,,,,191.0
debugger22/github-audio,github-audio,Listen to music generated by events happening across GitHub 🎷🎸,1344,77,JavaScript,debugger22,Sudhanshu Mishra,User,"Mumbai, India",19.0759837,72.87765590000001,Mumbai,India,204.5
wellsjo/JSON-Splora,JSON-Splora,"☘️ GUI for editing, visualizing, and manipulating JSON",1268,41,JavaScript,wellsjo,Wells Johnston,User,New York City,40.7127837,-74.00594129999999,New York,United States,226.0
dollarshaveclub/reframe.js,reframe.js,Reframe unresponsive elements responsively.,1236,40,JavaScript,dollarshaveclub,Dollar Shave Club,Organization,"Venice, CA",33.9850469,-118.4694832,Los Angeles,United States,230.0
dollarshaveclub/shave,shave,Shave is a zero dependency javascript plugin that truncates text to fit within a html element based on a set max-height  ✁,1231,52,JavaScript,dollarshaveclub,Dollar Shave Club,Organization,"Venice, CA",33.9850469,-118.4694832,Los Angeles,United States,231.0
Ramotion/aquarelle,aquarelle,Aquarelle is a watercolor js effect.,1219,76,JavaScript,Ramotion,Ramotion,Organization,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,236.0
ForestAdmin/lumber,lumber,The Admin Interface Framework,1199,47,JavaScript,ForestAdmin,ForestAdmin,Organization,,,,,,240.0
egoist/eme,eme,✏️ Elegant Markdown Editor.,1198,91,JavaScript,egoist,EGOIST,User,"Chengdu, China",30.572815999999996,104.066801,Chengdu,China,241.5
google/closure-compiler-js,closure-compiler-js,Package for the JS version of closure-compiler for use via npm,1193,32,JavaScript,google,Google,Organization,,,,,,244.0
Easyfood/pageAccelerator,pageAccelerator,A very light solution to load web pages faster,1174,51,JavaScript,Easyfood,,Organization,,,,,,251.0
mathisonian/premonish,premonish,Predict which DOM element a user will interact with next.,1126,24,JavaScript,mathisonian,Matthew Conlen,User,Seattle,47.6062095,-122.33207079999998,Seattle,United States,264.0
mikeal/roll-call,roll-call,☎️ Free and reliable audio calls for everyone w/ browser p2p.,1083,71,JavaScript,mikeal,Mikeal Rogers,User,San Francisco,37.7749295,-122.4194155,San Francisco,United States,275.0
ebidel/appmetrics.js,appmetrics.js,A small (1.1kb) library for measuring things in your web app and reporting the results to Google Analytics.,1044,37,JavaScript,ebidel,Eric Bidelman,User,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,285.0
camwiegert/baffle,baffle,A tiny javascript library for obfuscating and revealing text in DOM elements. :astonished:,1026,48,JavaScript,camwiegert,Cam Wiegert,User,"Madison, WI",43.07305170000001,-89.4012302,Madison,United States,292.0
JamesTheHacker/Neuron,Neuron,"Neuron - Electron, ES6, React, PouchDB, Sass, Webpack",976,32,JavaScript,JamesTheHacker,JamesTheHacker,User,United Kingdom,55.378051,-3.435973,,United Kingdom,301.0
hungtraan/FacebookBot,FacebookBot,"A Facebook Messenger Bot that supports Voice Recognition, Natural Language Processing and features such as: search nearby restaurants, search trending news, transcribe and save memos to the cloud.",960,86,JavaScript,hungtraan,Hung Tran,User,,,,,,309.0
Armax/Pokemon-GO-node-api,Pokemon-GO-node-api,Pokemon GO api node.js library,959,257,JavaScript,Armax,Arm4x,User,/dev/null,,,,,310.0
MaiaVictor/WebMonkeys,WebMonkeys,"Massively parallel GPU programming on JavaScript, simple and clean.",929,24,JavaScript,MaiaVictor,,User,,,,,,316.0
cramforce/splittable,splittable,"Module bundler with support for code splitting, ES6 & CommonJS modules.",926,22,JavaScript,cramforce,Malte Ubl,User,"Alameda, CA, USA",37.7652065,-122.2416355,Alameda,United States,317.5
crazycodeboy/GitHubPopular,GitHubPopular,"这是一个用来查看GitHub最受欢迎与最热项目的App,它基于React Native支持Android和iOS双平台。",912,196,JavaScript,crazycodeboy,DevIo.org,User,sh,54.21936720000001,9.6961167,,Germany,321.5
web-pal/DBGlass,DBGlass,PostgreSQL client built with Electron.,900,29,JavaScript,web-pal,Web-Pal,Organization,Moscow,55.755826,37.6173,Moscow,Russia,326.0
hkirat/notification-logger,notification-logger,Desktop notification for your console Logs,886,37,JavaScript,hkirat,harkirat singh,User,"Roorkee , Uttrakhand , India",29.8542626,77.8880002,Roorkee,India,331.0
jakebian/quiver,quiver,Interactive convnet features visualization for Keras,883,63,JavaScript,jakebian,Jake Bian,User,SF,37.7749295,-122.4194155,San Francisco,United States,333.0
zeit/styled-jsx,styled-jsx,Full CSS support for JSX without compromises,875,22,JavaScript,zeit,ZEIT,Organization,,,,,,336.5
QingWei-Li/docsify,docsify,🃏 A magical documentation site generator.,873,45,JavaScript,QingWei-Li,cinwell.li,User,Shanghai,31.230415999999998,121.473701,Shanghai,China,338.0
FormidableLabs/react-animations,react-animations,A collection of animations for inline style libraries,868,31,JavaScript,FormidableLabs,Formidable,Organization,"Seattle, WA",47.6062095,-122.33207079999998,Seattle,United States,339.0
facebooknuclide/atom-in-orbit,atom-in-orbit,Putting Atom in the browser,852,33,JavaScript,facebooknuclide,Facebook Nuclide,Organization,"Menlo Park, California",37.4529598,-122.1817252,Menlo Park,United States,343.0
jpuri/react-draft-wysiwyg,react-draft-wysiwyg,A Wysiwyg editor build on top of ReactJS and DraftJS. https://jpuri.github.io/react-draft-wysiwyg,817,53,JavaScript,jpuri,Jyoti Puri,User,"New Delhi, India",28.6139391,77.20902120000001,New Delhi,India,353.0
davidferguson/pibakery,pibakery,"The blocks based, easy to use setup tool for Raspberry Pi",804,57,JavaScript,davidferguson,David Ferguson,User,"Edinburgh, Scotland",55.953252,-3.1882669999999997,Edinburgh,United Kingdom,355.0
CanonicalLtd/react-native,react-native,A framework for building native apps with React.,800,34,JavaScript,CanonicalLtd,Canonical Ltd,Organization,"London, UK",51.5073509,-0.12775830000000002,London,United Kingdom,359.5
720kb/ndm,ndm,npm desktop manager  https://720kb.github.io/ndm,780,24,JavaScript,720kb,720kb,Organization,,,,,,369.0
VctrySam/whatsapp,whatsapp,WhatsApp in React Native,774,160,JavaScript,VctrySam,Sam Okoro,User,"Austin, TX",30.267153000000004,-97.7430608,Austin,United States,371.0
guerrerocarlos/CacheP2P,CacheP2P,'More users = More capacity',753,28,JavaScript,guerrerocarlos,Carlos Guerrero,User,,,,,,379.0
dmotz/thing-translator,thing-translator,Point your camera at things to hear how to say them in a different language,749,76,JavaScript,dmotz,Dan Motzenbecker,User,NYC,40.7127837,-74.00594129999999,New York,United States,383.5
alexadam/save-as-ebook,save-as-ebook,Save a web page/selection as an eBook (.epub format) - a Chrome/Firefox/Opera Web Extension,744,29,JavaScript,alexadam,Alex Adam,User,,,,,,388.0
andywer/leakage,leakage,🐛 Memory leak testing for node.,733,16,JavaScript,andywer,Andy Wermke,User,"Leipzig, Germany",51.339695500000005,12.373074699999998,Leipzig,Germany,396.5
weui/weui-wxss,weui-wxss,"A UI library by WeChat official design team, includes the most useful widgets/modules.",731,143,JavaScript,weui,WeUI,Organization,Guangzhou China,23.12911,113.264385,Guangzhou,China,399.0
koush/electron-chrome,electron-chrome,,714,20,JavaScript,koush,Koushik Dutta,User,"Seattle, WA",47.6062095,-122.33207079999998,Seattle,United States,412.0
nenadg/traquer,traquer,Records and reproduces user's in-page behavior,714,27,JavaScript,nenadg,Nenad Golubovic,User,"Banja Luka, Bosnia and Herzegovina",44.7721811,17.191,Banja Luka,Bosnia and Herzegovina,412.0
jmurzy/react-native-foldview,react-native-foldview,FoldView implemented in JavaScript ⛱,709,53,JavaScript,jmurzy,Jake Murzy,User,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,420.5
xwartz/wechat-app-demo,wechat-app-demo,微信小程序 demo,709,195,JavaScript,xwartz,xwartz,User,"HangZhou, China",30.274084999999996,120.15507,Hangzhou,China,420.5
chvin/react-tetris,react-tetris,"Use React, Redux, Immutable to code Tetris.",690,106,JavaScript,chvin,Chvin,User,"China,HangZhou",30.274084999999996,120.15507,Hangzhou,China,444.5
chemzqm/wept,wept,微信小程序 web 端实时运行工具,677,97,JavaScript,chemzqm,Qiming zhao,User,"Beijing, China",39.904211,116.407395,Beijing,China,456.5
Bottr-js/Bottr,Bottr,🤖 The world's simplest framework for creating Bots,672,43,JavaScript,Bottr-js,Bottr,Organization,London,51.5073509,-0.12775830000000002,London,United Kingdom,460.0
web-pal/react-trello-board,react-trello-board,"Trello like board based on React, Redux, React-dnd",668,57,JavaScript,web-pal,Web-Pal,Organization,Moscow,55.755826,37.6173,Moscow,Russia,464.0
samgozman/YoptaScript,YoptaScript,Скриптовый язык программирования для гопников и реальных пацанов,667,63,JavaScript,samgozman,Sam Gozman,User,"Russia, Saint-Peterburg",59.9342802,30.335098600000002,Saint Petersburg,Russia,466.0
GianlucaGuarini/allora,allora,Promisify using es6 Proxies every javascript API with less than 50 lines of code,665,15,JavaScript,GianlucaGuarini,Gianluca Guarini,User,Zürich - Switzerland,47.376886600000006,8.541694,Zürich,Switzerland,469.0
dollarshaveclub/postmate,postmate,"A powerful, simple, promise-based postMessage library 📭  📨  📬  📫  🚚",663,32,JavaScript,dollarshaveclub,Dollar Shave Club,Organization,"Venice, CA",33.9850469,-118.4694832,Los Angeles,United States,471.0
zce/weapp-demo,weapp-demo,"微信小程序（应用号）示例教程（豆瓣电影）, awesome wechat weixin weapp demo, wxapp demo",647,290,JavaScript,zce,汪磊,User,"Beijing, China",39.904211,116.407395,Beijing,China,480.0
bodil/eslint-config-cleanjs,eslint-config-cleanjs,An eslint config which reduces JS to a pure functional language,644,15,JavaScript,bodil,Bodil Stokke,User,London,51.5073509,-0.12775830000000002,London,United Kingdom,485.0
pakastin/redom,redom,Tiny turboboosted JavaScript library for creating user interfaces. 100 % test coverage!,641,26,JavaScript,pakastin,Juha Lindstedt,User,Finland,61.92410999999999,25.748151,,Finland,489.0
dreamapplehappy/effective-javascript,effective-javascript,"To be, or not to be, that is a question! :joy: 万剑归宗的无名和独霸天下的雄霸",618,123,JavaScript,dreamapplehappy,dreamapple,User,Hangzhou,30.274084999999996,120.15507,Hangzhou,China,508.0
poly/stdlib,stdlib,A Standard Library for Microservices,617,22,JavaScript,poly,Polybit,Organization,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,511.0
romannurik/AndroidIconAnimator,AndroidIconAnimator,Android vector icon animation tool,607,29,JavaScript,romannurik,Roman Nurik,User,"New York, NY",40.7127837,-74.00594129999999,New York,United States,527.5
gagakj/GaGaMall,GaGaMall,React Native开发嘎嘎商城客户端,598,173,JavaScript,gagakj,gagakj,Organization,JiangSu NanTong,31.980171999999996,120.894291,Nantong,China,541.0
gophercon/2016-talks,2016-talks,Slides and Links to slides for 2016 talks,579,83,JavaScript,gophercon,GopherCon,Organization,,,,,,562.0
kingdido999/zooming,zooming,Image zoom that makes sense.,578,32,JavaScript,kingdido999,Desmond,User,San Francisco,37.7749295,-122.4194155,San Francisco,United States,564.0
justinleewells/pogo-optimizer,pogo-optimizer,MITM data analysis utility for Pokemon GO,574,152,JavaScript,justinleewells,Justin Wells,User,"Colorado Springs, CO",38.8338816,-104.82136340000001,Colorado Springs,United States,571.0
Jianru-Lin/lambda-view,lambda-view,复杂 JavaScript 源码阅读分析工具,574,50,JavaScript,Jianru-Lin,Jianru Lin,User,China,35.86166,104.195397,,China,571.0
ggomaeng/react-native-card-modal,react-native-card-modal,A pure javascript card modal for React Native framework.,572,41,JavaScript,ggomaeng,Sung Woo Park,User,"Los Angeles, CA",34.0522342,-118.24368490000002,Los Angeles,United States,576.5
threepointone/markdown-in-js,markdown-in-js,inline markdown for react/jsx,569,9,JavaScript,threepointone,Sunil Pai,User,"Bangalore, India",12.9715987,77.5945627,Bengaluru,India,580.5
clarus/redux-ship,redux-ship,"Composable, testable and typable side effects for Redux",554,6,JavaScript,clarus,Guillaume Claret,User,Paris,48.856614,2.3522218999999995,Paris,France,596.0
surbhioberoi/github-widget,github-widget,A widget showing your github details that you can embed in any website.,550,31,JavaScript,surbhioberoi,Surbhi Oberoi,User,Bangalore,12.9715987,77.5945627,Bengaluru,India,602.0
zeit/now-cli,now-cli,The command line interface for Now,547,43,JavaScript,zeit,ZEIT,Organization,,,,,,607.0
appbaseio/gem,gem,💎  GUI for Data Modeling with Elasticsearch,546,26,JavaScript,appbaseio,appbase.io,Organization,,,,,,609.0
kubek2k/lambdoku,lambdoku,Heroku-like experience when using AWS Lambda,538,14,JavaScript,kubek2k,Jakub Janczak,User,,,,,,621.0
siddharthkp/auto-install,auto-install,Install dependencies as you code ⚡️,535,16,JavaScript,siddharthkp,Siddharth Kshetrapal,User,"Bangalore, India",12.9715987,77.5945627,Bengaluru,India,624.0
dwqs/blog,blog,My New Blog's Address. Welcome to star,533,128,JavaScript,dwqs,Pomy,User,"Beijing,China",39.904211,116.407395,Beijing,China,629.5
BeepBoopHQ/slapp,slapp,A node.js module for Slack App integrations,530,22,JavaScript,BeepBoopHQ,,Organization,,,,,,632.0
corbindavenport/superembed.js,superembed.js,"Fluid width for YouTube, Vimeo, Vine, VideoPress, DailyMotion, and more embedded videos.",517,44,JavaScript,corbindavenport,Corbin Davenport,User,Sector ZZ9 Plural Z Alpha,,,,,655.0
lypeer/wechat-weapp-gank,wechat-weapp-gank,,516,79,JavaScript,lypeer,lypeer,User,Cheng Du,30.572815999999996,104.066801,Chengdu,China,659.5
lipeiwei-szu/ReactNativeOne,ReactNativeOne,基于React-Native的高仿「ONE·一个」，兼容Android、iOS双平台,514,151,JavaScript,lipeiwei-szu,lipeiwei,User,shenzhen,22.543096,114.05786499999999,Shenzhen,China,662.5
airbnb/react-with-styles,react-with-styles,Use CSS-in-JavaScript with themes for React without being tightly coupled to one implementation,512,18,JavaScript,airbnb,Airbnb,Organization,San Francisco,37.7749295,-122.4194155,San Francisco,United States,665.0
tannerlinsley/react-form,react-form,A simple and powerful form builder for React - ,504,16,JavaScript,tannerlinsley,Tanner Linsley,User,Utah,39.32098010000001,-111.0937311,,United States,677.5
mmckegg/ferment,ferment,"Peer-to-peer audio publishing and streaming application. Like SoundCloud but decentralized. A mashup of ssb, webtorrent and electron.",504,20,JavaScript,mmckegg,Matt McKegg,User,"Wellington, New Zealand",-41.286460299999995,174.776236,Wellington,New Zealand,677.5
kiqs/chartify,chartify,React.js music chart,494,7,JavaScript,kiqs,Kirill Stepkin,User,,,,,,694.0
monterail/vuelidate,vuelidate,"Simple, lightweight model-based validation for Vue.js",489,18,JavaScript,monterail,Monterail,Organization,"Wrocław, Poland",51.1078852,17.0385376,Wrocław,Poland,702.0
sylvainpolletvillard/postcss-grid-kiss,postcss-grid-kiss,A PostCSS plugin to keep CSS grids stupidly simple,489,20,JavaScript,sylvainpolletvillard,Sylvain Pollet-Villard,User,,,,,,702.0
nolanlawson/slow-deps,slow-deps,🐌 Measure which dependencies in a project are slowest to npm install,488,11,JavaScript,nolanlawson,Nolan Lawson,User,Seattle,47.6062095,-122.33207079999998,Seattle,United States,704.5
lzxb/vue2-demo,vue2-demo,从零构建vue2 + vue-router + vuex 开发环境到入门，实现基本的登录退出功能 ,487,160,JavaScript,lzxb,狼族小狈,User,中国,35.86166,104.195397,,China,707.0
JSBros/hedron,hedron,"A no-frills flexbox grid system for React, powered by styled-components.",480,15,JavaScript,JSBros,,Organization,Online,,,,,717.0
diegohaz/arc,arc,A progressive React starter kit based on the Atomic Design methodology,473,28,JavaScript,diegohaz,Haz,User,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,Rio de Janeiro,Brazil,727.5
fuse-box/fuse-box,fuse-box,A blazing fast js bundler/loader with a comprehensive API,472,16,JavaScript,fuse-box,,Organization,,,,,,730.5
birl-language/birl-language.github.io,birl-language.github.io,"BIRL (Bambam's 'It's show time' Recursive Language), a linguagem descendente! Derrubar tudo essas árvores do Parque Ibirapuera! BIRL!",469,42,JavaScript,birl-language,,Organization,,,,,,732.5
lelandrichardson/redux-pack,redux-pack,Sensible promise handling and middleware for redux,468,17,JavaScript,lelandrichardson,Leland Richardson,User,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,734.5
anmonteiro/lumo,lumo,"Fast, cross-platform, standalone ClojureScript REPL",466,20,JavaScript,anmonteiro,António Nuno Monteiro,User,Germany,51.165690999999995,10.451526,,Germany,737.0
amitkaps/visdown,visdown,Visualisation Markdown @,459,18,JavaScript,amitkaps,Amit Kapoor,User,"Bangalore, India",12.9715987,77.5945627,Bengaluru,India,748.5
mumuy/data_location,data_location,Chinese Administrative Division.中国行政区划信息-区划代码数据库,456,79,JavaScript,mumuy,PASSER-BY,User,"Xiamen,China",24.479834,118.089425,Xiamen,China,754.5
ctripcorp/dal,dal,Ctrip Database Access Layer,453,211,JavaScript,ctripcorp,"Ctrip, Inc.",Organization,"Shanghai, China",31.230415999999998,121.473701,Shanghai,China,762.5
tunz/js-vuln-db,js-vuln-db,A collection of JavaScript engine CVEs with PoCs,452,96,JavaScript,tunz,Choongwoo Han,User,South Korea,35.907757000000004,127.766922,,South Korea,765.5
kenberkeley/vue-demo,vue-demo,Vue.js 示例项目 · 简易留言板。本项目拥有完善的文档说明与注释，让您快速上手 Vue.js 开发 SPA。Webpack / ES6 + Babel / Vue Router / Vue Resource / (Vue Validator ?) / (Vuex ?)  —— An Excellent Vue Starter with Best Practice / 最佳实践,452,131,JavaScript,kenberkeley,Ken Berkeley,User,,,,,,765.5
goessner/mdmath,mdmath,LaTeX Math for Markdown inside of Visual Studio Code.,452,11,JavaScript,goessner,Stefan Goessner,User,Germany,51.165690999999995,10.451526,,Germany,765.5
screeps/screeps,screeps,A standalone server for programming game Screeps,449,35,JavaScript,screeps,,Organization,,,,,,771.5
anvaka/time,time,Simple Google Sheets interface to track time,445,57,JavaScript,anvaka,Andrei Kashcha,User,Seattle ,47.6062095,-122.33207079999998,Seattle,United States,776.5
gloomyson/SC_Js,SC_Js,"Classic RTS game using html5 canvas and javascript, only js codes, all copyrighted materials removed",443,33,JavaScript,gloomyson,Ryuta,User,,,,,,779.0
