full_name, stars, forks, description, language
dempfi/ayu, 1931, 66, "Modern Sublime Text 3 and 2 theme", JavaScript
devongovett/regexgen, 1917, 51, "Generate regular expressions that match a set of strings", JavaScript
nuxt/nuxt.js, 1916, 68, "A minimalistic framework for server-rendered Vue.js applications (inspired by Next.js).", JavaScript
FormidableLabs/react-music, 1885, 110, "Make beats with React!", JavaScript
turbo/js, 1836, 63, "turbo.js - perform massive parallel computations in your browser with GPGPU.", JavaScript
lukehaas/RegexHub, 1738, 82, "A collection of useful regex patterns", JavaScript
pubkey/rxdb, 1663, 52, "Reactive Offline-first Database with Sync, Schema, Mongo-Query, Encryption, LevelDown ", JavaScript
MicheleBertoli/react-fix-it, 1568, 15, "Automagically generate tests from errors", JavaScript
material-components/material-components-web, 1533, 71, "Modular and customizable Material Design UI components for the web", JavaScript
terkelg/ramme, 1501, 130, "📷  Unofficial Instagram Desktop App", JavaScript
andywer/webpack-blocks, 1501, 30, "📦 Configure webpack using functional feature blocks.", JavaScript
threepointone/glamor, 1493, 53, "inline css for react et al", JavaScript
jgraph/draw.io, 1460, 464, "Source to www.draw.io", JavaScript
shoutem/ui, 1447, 106, "Customizable set of components for React Native applications", JavaScript
christinecha/choreographer-js, 1427, 66, "A simple library to take care of complicated animations.", JavaScript
LaunchKit/LaunchKit, 1426, 157, "A set of web-based tools for mobile app developers, now open source!", JavaScript
siddharthkp/cost-of-modules, 1411, 20, "Find out which of your dependencies are slowing you down 🐢", JavaScript
babel/babel-preset-env, 1400, 36, ":earth_americas: Autoprefixer for Babel: compile less", JavaScript
debugger22/github-audio, 1344, 77, "Listen to music generated by events happening across GitHub 🎷🎸", JavaScript
wellsjo/JSON-Splora, 1268, 41, "☘️ GUI for editing, visualizing, and manipulating JSON", JavaScript
dollarshaveclub/reframe.js, 1236, 40, "Reframe unresponsive elements responsively.", JavaScript
dollarshaveclub/shave, 1231, 52, "Shave is a zero dependency javascript plugin that truncates text to fit within a html element based on a set max-height  ✁", JavaScript
Ramotion/aquarelle, 1219, 76, "Aquarelle is a watercolor js effect.", JavaScript
ForestAdmin/lumber, 1199, 47, "The Admin Interface Framework", JavaScript
egoist/eme, 1198, 91, "✏️ Elegant Markdown Editor.", JavaScript
google/closure-compiler-js, 1193, 32, "Package for the JS version of closure-compiler for use via npm", JavaScript
Easyfood/pageAccelerator, 1174, 51, "A very light solution to load web pages faster", JavaScript
mathisonian/premonish, 1126, 24, "Predict which DOM element a user will interact with next.", JavaScript
mikeal/roll-call, 1083, 71, "☎️ Free and reliable audio calls for everyone w/ browser p2p.", JavaScript
ebidel/appmetrics.js, 1044, 37, "A small (1.1kb) library for measuring things in your web app and reporting the results to Google Analytics.", JavaScript
camwiegert/baffle, 1026, 48, "A tiny javascript library for obfuscating and revealing text in DOM elements. :astonished:", JavaScript
JamesTheHacker/Neuron, 976, 32, "Neuron - Electron, ES6, React, PouchDB, Sass, Webpack", JavaScript
hungtraan/FacebookBot, 960, 86, "A Facebook Messenger Bot that supports Voice Recognition, Natural Language Processing and features such as: search nearby restaurants, search trending news, transcribe and save memos to the cloud.", JavaScript
Armax/Pokemon-GO-node-api, 959, 257, "Pokemon GO api node.js library", JavaScript
MaiaVictor/WebMonkeys, 929, 24, "Massively parallel GPU programming on JavaScript, simple and clean.", JavaScript
cramforce/splittable, 926, 22, "Module bundler with support for code splitting, ES6 & CommonJS modules.", JavaScript
crazycodeboy/GitHubPopular, 912, 196, "这是一个用来查看GitHub最受欢迎与最热项目的App,它基于React Native支持Android和iOS双平台。", JavaScript
web-pal/DBGlass, 900, 29, "PostgreSQL client built with Electron.", JavaScript
hkirat/notification-logger, 886, 37, "Desktop notification for your console Logs", JavaScript
jakebian/quiver, 883, 63, "Interactive convnet features visualization for Keras", JavaScript
zeit/styled-jsx, 875, 22, "Full CSS support for JSX without compromises", JavaScript
QingWei-Li/docsify, 873, 45, "🃏 A magical documentation site generator.", JavaScript
FormidableLabs/react-animations, 868, 31, "A collection of animations for inline style libraries", JavaScript
facebooknuclide/atom-in-orbit, 852, 33, "Putting Atom in the browser", JavaScript
jpuri/react-draft-wysiwyg, 817, 53, "A Wysiwyg editor build on top of ReactJS and DraftJS. https://jpuri.github.io/react-draft-wysiwyg", JavaScript
davidferguson/pibakery, 804, 57, "The blocks based, easy to use setup tool for Raspberry Pi", JavaScript
CanonicalLtd/react-native, 800, 34, "A framework for building native apps with React.", JavaScript
720kb/ndm, 780, 24, "npm desktop manager  https://720kb.github.io/ndm", JavaScript
VctrySam/whatsapp, 774, 160, "WhatsApp in React Native", JavaScript
guerrerocarlos/CacheP2P, 753, 28, "'More users = More capacity'", JavaScript
dmotz/thing-translator, 749, 76, "Point your camera at things to hear how to say them in a different language", JavaScript
alexadam/save-as-ebook, 744, 29, "Save a web page/selection as an eBook (.epub format) - a Chrome/Firefox/Opera Web Extension", JavaScript
andywer/leakage, 733, 16, "🐛 Memory leak testing for node.", JavaScript
weui/weui-wxss, 731, 143, "A UI library by WeChat official design team, includes the most useful widgets/modules.", JavaScript
koush/electron-chrome, 714, 20, "", JavaScript
nenadg/traquer, 714, 27, "Records and reproduces user's in-page behavior", JavaScript
jmurzy/react-native-foldview, 709, 53, "FoldView implemented in JavaScript ⛱", JavaScript
xwartz/wechat-app-demo, 709, 195, "微信小程序 demo", JavaScript
chvin/react-tetris, 690, 106, "Use React, Redux, Immutable to code Tetris.", JavaScript
chemzqm/wept, 677, 97, "微信小程序 web 端实时运行工具", JavaScript
Bottr-js/Bottr, 672, 43, "🤖 The world's simplest framework for creating Bots", JavaScript
web-pal/react-trello-board, 668, 57, "Trello like board based on React, Redux, React-dnd", JavaScript
samgozman/YoptaScript, 667, 63, "Скриптовый язык программирования для гопников и реальных пацанов", JavaScript
GianlucaGuarini/allora, 665, 15, "Promisify using es6 Proxies every javascript API with less than 50 lines of code", JavaScript
dollarshaveclub/postmate, 663, 32, "A powerful, simple, promise-based postMessage library 📭  📨  📬  📫  🚚", JavaScript
zce/weapp-demo, 647, 290, "微信小程序（应用号）示例教程（豆瓣电影）, awesome wechat weixin weapp demo, wxapp demo", JavaScript
bodil/eslint-config-cleanjs, 644, 15, "An eslint config which reduces JS to a pure functional language", JavaScript
pakastin/redom, 641, 26, "Tiny turboboosted JavaScript library for creating user interfaces. 100 % test coverage!", JavaScript
dreamapplehappy/effective-javascript, 618, 123, "To be, or not to be, that is a question! :joy: 万剑归宗的无名和独霸天下的雄霸", JavaScript
poly/stdlib, 617, 22, "A Standard Library for Microservices", JavaScript
romannurik/AndroidIconAnimator, 607, 29, "Android vector icon animation tool", JavaScript
gagakj/GaGaMall, 598, 173, "React Native开发嘎嘎商城客户端", JavaScript
gophercon/2016-talks, 579, 83, "Slides and Links to slides for 2016 talks", JavaScript
kingdido999/zooming, 578, 32, "Image zoom that makes sense.", JavaScript
justinleewells/pogo-optimizer, 574, 152, "MITM data analysis utility for Pokemon GO", JavaScript
Jianru-Lin/lambda-view, 574, 50, "复杂 JavaScript 源码阅读分析工具", JavaScript
ggomaeng/react-native-card-modal, 572, 41, "A pure javascript card modal for React Native framework.", JavaScript
threepointone/markdown-in-js, 569, 9, "inline markdown for react/jsx", JavaScript
clarus/redux-ship, 554, 6, "Composable, testable and typable side effects for Redux", JavaScript
surbhioberoi/github-widget, 550, 31, "A widget showing your github details that you can embed in any website.", JavaScript
zeit/now-cli, 547, 43, "The command line interface for Now", JavaScript
appbaseio/gem, 546, 26, "💎  GUI for Data Modeling with Elasticsearch", JavaScript
kubek2k/lambdoku, 538, 14, "Heroku-like experience when using AWS Lambda", JavaScript
siddharthkp/auto-install, 535, 16, "Install dependencies as you code ⚡️", JavaScript
dwqs/blog, 533, 128, "My New Blog's Address. Welcome to star", JavaScript
BeepBoopHQ/slapp, 530, 22, "A node.js module for Slack App integrations", JavaScript
corbindavenport/superembed.js, 517, 44, "Fluid width for YouTube, Vimeo, Vine, VideoPress, DailyMotion, and more embedded videos.", JavaScript
lypeer/wechat-weapp-gank, 516, 79, "", JavaScript
lipeiwei-szu/ReactNativeOne, 514, 151, "基于React-Native的高仿「ONE·一个」，兼容Android、iOS双平台", JavaScript
airbnb/react-with-styles, 512, 18, "Use CSS-in-JavaScript with themes for React without being tightly coupled to one implementation", JavaScript
tannerlinsley/react-form, 504, 16, "A simple and powerful form builder for React - ", JavaScript
mmckegg/ferment, 504, 20, "Peer-to-peer audio publishing and streaming application. Like SoundCloud but decentralized. A mashup of ssb, webtorrent and electron.", JavaScript
kiqs/chartify, 494, 7, "React.js music chart", JavaScript
monterail/vuelidate, 489, 18, "Simple, lightweight model-based validation for Vue.js", JavaScript
sylvainpolletvillard/postcss-grid-kiss, 489, 20, "A PostCSS plugin to keep CSS grids stupidly simple", JavaScript
nolanlawson/slow-deps, 488, 11, "🐌 Measure which dependencies in a project are slowest to npm install", JavaScript
lzxb/vue2-demo, 487, 160, "从零构建vue2 + vue-router + vuex 开发环境到入门，实现基本的登录退出功能 ", JavaScript
JSBros/hedron, 480, 15, "A no-frills flexbox grid system for React, powered by styled-components.", JavaScript
diegohaz/arc, 473, 28, "A progressive React starter kit based on the Atomic Design methodology", JavaScript
fuse-box/fuse-box, 472, 16, "A blazing fast js bundler/loader with a comprehensive API", JavaScript
birl-language/birl-language.github.io, 469, 42, "BIRL (Bambam's 'It's show time' Recursive Language), a linguagem descendente! Derrubar tudo essas árvores do Parque Ibirapuera! BIRL!", JavaScript
lelandrichardson/redux-pack, 468, 17, "Sensible promise handling and middleware for redux", JavaScript
anmonteiro/lumo, 466, 20, "Fast, cross-platform, standalone ClojureScript REPL", JavaScript
amitkaps/visdown, 459, 18, "Visualisation Markdown @", JavaScript
mumuy/data_location, 456, 79, "Chinese Administrative Division.中国行政区划信息-区划代码数据库", JavaScript
ctripcorp/dal, 453, 211, "Ctrip Database Access Layer", JavaScript
tunz/js-vuln-db, 452, 96, "A collection of JavaScript engine CVEs with PoCs", JavaScript
kenberkeley/vue-demo, 452, 131, "Vue.js 示例项目 · 简易留言板。本项目拥有完善的文档说明与注释，让您快速上手 Vue.js 开发 SPA。Webpack / ES6 + Babel / Vue Router / Vue Resource / (Vue Validator ?) / (Vuex ?)  —— An Excellent Vue Starter with Best Practice / 最佳实践", JavaScript
goessner/mdmath, 452, 11, "LaTeX Math for Markdown inside of Visual Studio Code.", JavaScript
screeps/screeps, 449, 35, "A standalone server for programming game Screeps", JavaScript
anvaka/time, 445, 57, "Simple Google Sheets interface to track time", JavaScript
gloomyson/SC_Js, 443, 33, "Classic RTS game using html5 canvas and javascript, only js codes, all copyrighted materials removed", JavaScript
Jon-Biz/simple-static-react-firebase, 436, 33, "Minimal boilerplate and configuration for the development of firebase websites with react & es6", JavaScript
fatiherikli/language-evolution-simulation, 435, 54, "Language evolution simulation with Agent-based Models", JavaScript
logaretm/vee-validate, 435, 64, "Simple Vue.js input validation plugin", JavaScript
ggomaeng/react-native-facebook-ui, 434, 40, "Pure javascript UI prototype of iOS Facebook for React Native framework.", JavaScript
marmelab/admin-on-rest, 434, 70, "A frontend framework for building admin SPAs on top of REST services, using React", JavaScript
sindresorhus/alfy, 433, 17, "Create Alfred workflows with ease", JavaScript
joshwcomeau/redux-vcr, 432, 8, "📼 Record and replay user sessions", JavaScript
mbasso/react-decoration, 431, 11, "A collection of decorators for React Components", JavaScript
nikgraf/webvr-experiments, 430, 14, "A collection of ReactVR experiments (potentially also A-Frame and WebVR expriments using ReasonML & Elm)", JavaScript
supnate/rekit, 422, 29, "Toolkit for building scalable web applications with React, Redux and React-router", JavaScript
ReactTraining/react-media, 422, 19, "A CSS media query component for React", JavaScript
osrec/currencyFormatter.js, 419, 32, "A super simple currency formatting library", JavaScript
awslabs/aws-serverless-express, 419, 36, "This library enables you to utilize AWS Lambda and Amazon API Gateway to respond to web and API requests using your existing Node.js application framework.", JavaScript
xiehui999/SmallAppForQQ, 417, 121, "微信小程序(微信应用号)微信小程序官方demo,官方文档,开发工具，高仿手机QQ应用程序,持续更新中...", JavaScript
roncoo/roncoo-pay, 416, 408, "龙果支付系统是国内首款开源的互联网支付系统，其核心目标是汇聚所有主流支付渠道，打造一款轻量、便捷、易用，且集支付、资金对账、资金清结算于一体的支付系统，满足互联网业务系统的收款和业务资金管理需求。", JavaScript
maierfelix/POGOserver, 414, 203, ":rice_ball: Pokemon GO Server Emulator", JavaScript
zhengguorong/maizuo, 414, 160, "使用vue/vuex/redux开发的卖座网", JavaScript
jxnblk/repng, 413, 6, "React component to PNG converter", JavaScript
fritz-c/react-sortable-tree, 413, 59, "Drag-and-drop sortable component for nested data and hierarchies", JavaScript
kenberkeley/react-demo, 410, 109, "React 示例项目 · 简易留言板。本项目拥有完善的文档说明与注释，让您快速上手 React 开发 SPA。Webpack / ES6 + Babel / Redux / React Router —— An Excellent React Starter，可能是东半球最佳的 React Starter，基于 Vue Cli 二次开发", JavaScript
samccone/coverage-ext, 407, 9, "Generate code coverage for any webpage", JavaScript
feross/electron-workshop, 401, 30, "Workshop: Build cross-platform desktop apps with Electron", JavaScript
vutran/dext, 399, 31, "🔍 A smart launcher for Mac. Powered by JavaScript.", JavaScript
jeffbski/redux-logic, 399, 17, "Redux middleware for organizing business logic and action side effects.", JavaScript
leebyron/async-to-gen, 396, 18, "⌛ Use async functions in your JavaScript today with speed and simplicity.", JavaScript
FE-Driver/vue-beauty, 394, 56, "Beautiful  UI components build with vue and ant design", JavaScript
awalgarg/netmonitor, 384, 15, "A Chrome extension which shows background network activity of web pages after they are loaded.", JavaScript
liuxuanqiang/wechat-weapp-mall, 383, 179, "微信小程序-移动端商城", JavaScript
OmarElGabry/chat.io, 383, 70, "A Real Time Chat Application built using Node.js, Express, Mongoose, Socket.io, Passport, & Redis.", JavaScript
gavanw/voxelquestiso, 377, 40, "First version of the Voxel Quest engine (isometric)", JavaScript
biggiesmallsAG/nightHawkResponse, 374, 74, "Incident Response Forensic Framework", JavaScript
arximboldi/immer, 369, 13, "Postmodern immutable and persistent data structures for C++", JavaScript
coderitual/odoo, 363, 19, ":zap: SVG odometer effect with motion blur", JavaScript
nihgwu/react-native-sudoku, 361, 64, "a sudoku game written in React Native", JavaScript
icarusion/vue-vueRouter-webpack, 358, 94, "A base vue project with webpack", JavaScript
ffxsam/formous, 357, 5, "Simple and elegant form-handling for React", JavaScript
electrode-io/electrode, 356, 27, "Electrode Platform for Universal React + Node application ", JavaScript
PabloSichert/concurrency-logger, 350, 6, "Log HTTP requests/responses separately, visualize their concurrency and report logs/errors in context of a request", JavaScript
nolanlawson/marky, 348, 4, "High-resolution JavaScript timer based on performance.mark() and measure()", JavaScript
bhnddowinf/vuejs2-learn, 347, 59, "vuejs2 官网讲解 (vue.js 2 official website tutorials ，contains video , codes, baudi yun, youtube)", JavaScript
pogosandbox/necrobotvisualizer, 343, 130, "", JavaScript
jakebian/hera, 342, 37, "Train/evaluate a Keras model, get metrics streamed to a dashboard in your browser.", JavaScript
jstimpfle/tetris-on-a-plane, 336, 47, "", JavaScript
huangyaoxin/hAdmin, 335, 128, "后台模版 html5后台模版 bootstrap后台模版 Free Bootstrap 3 Admin Template", JavaScript
holidaypirates/nucleus, 334, 22, "Nucleus is a living style guide generator for atomic css based components. It's a Node application parsing the source SCSS files and reading information from DocBlock annotations.", JavaScript
JasonStu/ReactNative_Shopping, 334, 113, "电商类Reac Native App", JavaScript
toddmotto/angular-1-5-components-app, 333, 82, "A Contacts Manager application built on Angular 1.5 components, ui-router 1.0.0, Firebase.", JavaScript
mariusandra/pigeon-maps, 327, 8, "ReactJS Maps without external dependencies", JavaScript
kamranahmedse/tab-switcher, 326, 14, "Chrome Extension - Switch between the opened tabs in the blink of an eye", JavaScript
ReactTraining/react-broadcast, 322, 7, "A reliable way to broadcast state changes to React elements deep in the hierarchy", JavaScript
i-break-codes/scrum-board, 322, 26, "JavaScript Scrum App to manage tasks with ease", JavaScript
CapacitorSet/rebridge, 321, 9, "A transparent Javascript interface to Redis.", JavaScript
maichong/labrador, 320, 38, "微信小程序模块化开发框架", JavaScript
sindresorhus/hyper-snazzy, 318, 13, "Elegant Hyper theme with bright colors", JavaScript
beameio/beame-insta-ssl, 317, 7, "HTTP is over. Don’t get left behind. Get free, secure HTTPS tunneling to your machine! Quick start here!", JavaScript
auxdesigner/Sketch-to-VR, 316, 28, "Personal fun project - turn your mocks into VR", JavaScript
facebookincubator/exerslide, 315, 24, "A framework to create React-based HTML presentations and tutorials.", JavaScript
vuejs/vue-migration-helper, 314, 14, "CLI tool to aid in migration from Vue 1.x to 2.0", JavaScript
icindy/wxParse, 313, 73, "wxParse-微信小程序富文本解析自定义组件，支持HTML及markdown解析", JavaScript
vinnymac/PokeNurse, 311, 58, "💉  A tool for Pokémon Go to aid in transferring and evolving Pokémon", JavaScript
devinhalladay/spotio, 311, 26, "A proof-of-concept Rdio-inspired skin for Spotify.app", JavaScript
caroso1222/amazon-autocomplete, 310, 16, "🚀  Unlock the full power of the Amazon autocompletion engine right into your search input. JavaScript Plugin.", JavaScript
stems/join-monster, 310, 15, "A GraphQL-to-SQL query execution layer for batch data fetching.", JavaScript
CFETeam/weapp-demo-album, 305, 127, "The album demo of wechat micro program", JavaScript
icodeforlove/task.js, 302, 9, ":zap: Simplified interface for getting CPU intensive code to run on all cores (node.js, and web)", JavaScript
hyperfuse/react-anime, 300, 9, "(ﾉ´ヮ´)ﾉ*:･ﾟ✧ A super easy animation library for React!", JavaScript
kaktus/kaktus, 299, 9, "A new minimalistic web browser", JavaScript
alibaba/uirecorder, 297, 73, "UI Recorder is a UI test case recorder like Selenium IDE.", JavaScript
awslabs/aws-sdk-react-native, 296, 27, "AWS SDK for React Native (developer preview)", JavaScript
mozilla/datomish, 295, 11, "A persistent, relational store inspired by Datomic and DataScript.", JavaScript
phretaddin/schemapack, 294, 15, "Create a schema object to encode/decode your JSON in to a compact byte buffer with no overhead.", JavaScript
ben-eb/postcss-resemble-image, 294, 6, "Provide a gradient fallback for an image that loosely resembles the original.", JavaScript
jesstelford/react-bsod, 293, 9, ":large_blue_circle: A Blue Screen Of Death (bsod) component to display your errors.", JavaScript
hharnisc/tabbie, 292, 17, "The missing tab manager for Chrome", JavaScript
chromelens/chromelens, 290, 8, "Chrome DevTools extension for web accessibility development", JavaScript
sindu12jun/table-dragger, 290, 28, "Easily drag and drop sorting table", JavaScript
missive/emoji-mart, 290, 17, "Slack-like customizable emoji picker component for React", JavaScript
bailicangdu/react-pxq, 290, 117, "基于 react + react-router + redux + webpack + ES6 + less  的完整项目", JavaScript
grigio/HAgnostic-News, 289, 25, ":fire: A simple Hacker News reader which is available for the Web and as React Native app (Android / iOS)", JavaScript
sqreen/CTOSecurityChecklist, 289, 34, "The SaaS CTO Security Checklist", JavaScript
Erkaman/regl-cnn, 286, 29, "Digit recognition with Convolutional Neural Networks in WebGL", JavaScript
weui/weui.js, 286, 75, "A lightweight javascript library for WeUI.", JavaScript
walmartlabs/react-ssr-optimization, 285, 10, "React.js server-side rendering optimization with component memoization and templatization", JavaScript
pcbje/ggraph, 284, 14, "Graph visualization of big messy data", JavaScript
ycwalker/CMS-of-Blog, 282, 84, ":frog: Vue.js博客内容管理系统(CMS)", JavaScript
svtek/aws-sms-send, 280, 12, "Aws sms sender ", JavaScript
vue-play/vue-play, 280, 10, "🍭 A minimalistic framework for demonstrating your Vue components", JavaScript
phodal/weapp-quick, 280, 94, "微信小应用示例代码", JavaScript
wangdicoder/react-native-Gank, 279, 38, "A cross platform App which shows the contents from gank.io", JavaScript
photopea/Typr.js, 279, 12, "Typr.js - process fonts in Javascript", JavaScript
zeit/nextgram, 272, 26, "A sample Next.js app for showing off it's capabilities", JavaScript
tholman/ascii-morph, 271, 16, "Library to animate between two ascii images -", JavaScript
gajus/babel-plugin-react-css-modules, 271, 12, "Transforms styleName to className using compile time CSS module resolution.", JavaScript
FormidableLabs/victory-cli, 271, 9, "A tool for generating charts on the command line.", JavaScript
wangdicoder/JueJinClient, 270, 62, "a react-native app simulating JueJin App running on both Android and iOS", JavaScript
ezekg/swa-dashboard, 270, 37, "Dashboard to monitor and receive alerts for changes in Southwest fare prices", JavaScript
egoist/docute, 270, 16, ":scroll: Effortlessly documentation done right.", JavaScript
mzgoddard/hard-source-webpack-plugin, 268, 7, "", JavaScript
geelen/react-snapshot, 265, 13, "A zero-configuration static pre-renderer for React apps", JavaScript
FGRibreau/gron, 265, 6, "gron - Make JSON greppable!", JavaScript
halfzebra/create-elm-app, 262, 17, ":star: Create Elm apps with zero configuration", JavaScript
coolfishstudio/wechat-webapp-cnode, 262, 92, "微信小应用学习 cnode版  教程在这里-->", JavaScript
nypublicradio/audiogram, 261, 77, "Turn audio into a shareable video.", JavaScript
Erkaman/wireframe-world, 259, 22, "An infinite wireframe world in WebGL", JavaScript
storybooks/storyshots, 259, 15, "Jest Snapshot testing for React Storybook", JavaScript
arnoappenzeller/PiPifier, 255, 17, "PiPifier is a native macOS 10.12 Safari extension that lets you use every HTML5 video in Picture in Picture mode", JavaScript
lock-upme/OPMS, 254, 125, "OPMS项目+OA管理系统", JavaScript
runkitdev/demokit, 254, 9, "DemoKit is a Library and Electron app for building product demos and tutorials using web technologies", JavaScript
mheiber/redux-machine, 253, 7, "A tiny library (12 lines) for creating state machines in Redux apps", JavaScript
CharlGottschalk/approvejs, 253, 13, "A simple JavaScript validation library that doesn't interfere", JavaScript
RebeccaHanjw/weapp-wechat-zhihu, 253, 84, "微信中的知乎--微信小程序 demo // Zhihu in Wechat", JavaScript
2muchcoffeecom/ng2-restangular, 251, 23, "Restangular for Angular 2 and higher versions", JavaScript
OpenDroneMap/WebODM, 250, 36, "Web GUI for OpenDroneMap", JavaScript
schmooblidon/meleelight, 250, 58, "Melee Light Platform Fighter", JavaScript
ondras/primitive.js, 245, 30, "JS port of primitive.lol", JavaScript
kentcdodds/match-sorter, 244, 9, "Simple, expected, and deterministic best-match sorting of an array in JavaScript", JavaScript
amilajack/eslint-plugin-flowtype-errors, 243, 15, "Run Flow as an ESLint plugin", JavaScript
SuneBear/Piano-Flow, 242, 16, "[Paused] A music game follows the piano flows.", JavaScript
AnotherNote/anote, 239, 36, "another markdown note (inspired by evernote)", JavaScript
paramaggarwal/rn-paper-interface, 238, 27, "Implementation of Facebook Paper-like interactive UI in React Native.", JavaScript
tiaanduplessis/dont-go, 237, 6, "A small client-side library with zero dependencies to change the title and/or favicon of the page when it is inactive. :relieved:", JavaScript
bs-detector/bs-detector, 236, 68, "A browser extension that alerts users to unreliable news sources.", JavaScript
shoumma/Mister-Poster, 235, 28, "A social application where you can share your thoughts to everyone......no friendship needed!!! Built with React Native.", JavaScript
4Catalyzer/css-literal-loader, 234, 4, "Parse css tagged template literals as CSS files", JavaScript
poly/f, 233, 6, "Functional Microservice Request Library", JavaScript
cyraxx/pogobuf, 233, 67, ":rocket: pogobuf, a Pokémon Go Client Library for node.js", JavaScript
ageitgey/show-facebook-computer-vision-tags, 231, 17, "A very simple Chrome Extension that displays the automated image tags that Facebook has generated for your images", JavaScript
zzarcon/chaosocket, 231, 9, ":boom: Mock WebSockets and create chaos :boom:", JavaScript
adriantoine/enzyme-to-json, 231, 14, "Convert Enzyme wrappers to a format compatible with Jest snapshot", JavaScript
googlecreativelab/aiexperiments-giorgio-cam, 230, 37, "Take a picture to make music with the computer. ", JavaScript
ufologist/puer-mock, 230, 34, "Puer + Mock.js = A configurable mock server with configurable mock(random) data.", JavaScript
liuxianan/pinyinjs, 229, 81, "一个实现汉字与拼音互转的小巧web工具库，演示地址：", JavaScript
EleTeam/Shop-React-Native, 228, 98, "EleTeam开源项目 - 电商全套解决方案之 React Native 版 - Shop-React-Native。一个类似京东/天猫/淘宝的商城，有对应的服务端支持，由EleTeam团队维护！", JavaScript
CERT-BDF/TheHive, 227, 27, "TheHive: a Scalable, Open Source and Free Incident Response Platform", JavaScript
Meituan-Dianping/koa-restql, 226, 38, "Build real RESTful APIs without writing one line of code.", JavaScript
jeffjose/tget, 224, 6, "tget is wget for torrents", JavaScript
casesandberg/react-reactions, 223, 4, ":raised_hands: Use Reactions from Slack, Facebook, Pokemon, Github and Youtube", JavaScript
blacksonic/angular2-aot-webpack, 222, 46, "Angular 2 AOT (Ahead Of Time) offline compilation example with Webpack", JavaScript
VctrySam/Tinder, 222, 70, "Tinder in React Native", JavaScript
