full_name, stars, forks, description, language
devongovett/regexgen, 1917, 51, "Generate regular expressions that match a set of strings", JavaScript
pubkey/rxdb, 1663, 52, "Reactive Offline-first Database with Sync, Schema, Mongo-Query, Encryption, LevelDown ", JavaScript
MicheleBertoli/react-fix-it, 1568, 15, "Automagically generate tests from errors", JavaScript
material-components/material-components-web, 1533, 71, "Modular and customizable Material Design UI components for the web", JavaScript
mathisonian/premonish, 1126, 24, "Predict which DOM element a user will interact with next.", JavaScript
zeit/styled-jsx, 875, 22, "Full CSS support for JSX without compromises", JavaScript
andywer/leakage, 733, 16, "🐛 Memory leak testing for node.", JavaScript
chvin/react-tetris, 690, 106, "Use React, Redux, Immutable to code Tetris.", JavaScript
ggomaeng/react-native-facebook-ui, 434, 40, "Pure javascript UI prototype of iOS Facebook for React Native framework.", JavaScript
nikgraf/webvr-experiments, 430, 14, "A collection of ReactVR experiments (potentially also A-Frame and WebVR expriments using ReasonML & Elm)", JavaScript
mariusandra/pigeon-maps, 327, 8, "ReactJS Maps without external dependencies", JavaScript
hharnisc/tabbie, 292, 17, "The missing tab manager for Chrome", JavaScript
pcbje/ggraph, 283, 14, "Graph visualization of big messy data", JavaScript
gajus/babel-plugin-react-css-modules, 271, 12, "Transforms styleName to className using compile time CSS module resolution.", JavaScript
egoist/docute, 270, 16, ":scroll: Effortlessly documentation done right.", JavaScript
ageitgey/show-facebook-computer-vision-tags, 228, 17, "A very simple Chrome Extension that displays the automated image tags that Facebook has generated for your images", JavaScript
qieguo2016/Vueuv, 219, 25, "参照Vue实现的一个JavaScript MVVM 框架，手把手教你从零开始Make Your Own Vue!", JavaScript
XhstormR/BaiduNetdisk-WAP, 179, 12, "BaiduNetdisk (WAP)", JavaScript
imgntn/j360, 174, 7, "360 Video and Photo Capture in 4K for Three.js", JavaScript
rusher81572/picluster, 163, 7, "A Simplified Approach to Container Orchestration", JavaScript
sindresorhus/clipboardy, 162, 6, "Access the system clipboard (copy/paste)", JavaScript
sanchitgn/remember, 160, 10, "The progressive offline Todo app", JavaScript
yanbober/RNPolymerPo, 150, 45, "基于 React Native 的 Android 企业级应用 Demo。", JavaScript
